Rank,Name,Position,G,GS,IP,WP,PB,Pass9,SB,CS,CS%,SBA,SBA%,SB 2,SB 3,SB H,SB Double,CS 2,CS 3,CS H,CS Double,Range RAA,Err RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,Team
1,김시앙,C,5,1,15.1,1,0,0.587,0,0,,27,0.0,0,0,0,0,0,0,0,0,-0.04,0.07,,0.57,,0.60,17.32,KW
2,박성빈,C,6,4,27.0,1,0,0.333,1,0,0.0,32,3.1,1,0,0,0,0,0,0,0,0.00,0.12,-0.29,0.51,,0.34,8.11,KW
3,김재현,C,38,31,285.2,22,2,0.756,18,8,30.8,450,5.8,17,1,0,0,7,1,0,0,-0.91,-0.70,1.04,0.53,,-0.76,-2.87,KW
4,김동헌,C,2,2,14.0,2,0,1.286,7,0,0.0,28,25.0,5,2,0,1,0,0,0,0,0.00,-0.44,-0.45,-0.28,,-1.17,-83.98,KW
5,박준형,C,4,2,12.1,3,1,2.919,2,0,0.0,21,9.5,2,0,0,0,0,0,0,0,0.00,0.06,-0.29,-1.34,,-1.57,-56.54,KW
