Name,Year,Team,Age,Pos.,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,Total RAA,/144
배정대,2022,KT,27,CF,144,134,1195.2,0,0,313,5,3,312,99.0,99.1,2.39,-3.74,0.21,,,-2.37,-2.37
배정대,2023,KT,28,CF,97,93,800.0,0,0,246,6,1,172,99.4,99.6,2.84,-4.27,1.08,,,-1.45,-2.15
배정대,2024,KT,29,CF,14,14,119.0,0,0,35,0,1,23,95.7,97.2,2.65,-4.98,-0.32,,,-5.29,-54.4
손아섭,2022,NC,34,RF,108,108,894.2,0,0,193,7,3,198,98.5,98.5,2.01,8.98,0.13,,,9.8,10.23
손아섭,2023,NC,35,LF,9,9,66.1,0,0,16,0,0,11,100.0,100.0,2.17,-0.31,0.12,,,0.12,0.12
손아섭,2024,NC,36,LF,3,3,24.0,0,0,6,0,0,2,100.0,100.0,2.25,0.84,0.02,,,0.98,3.52
송성문,2022,키움,26,1B,1,0,2.0,0,0,2,1,0,3,100.0,100.0,13.5,0.35,0.0,,,0.36,0.36
송성문,2023,키움,27,1B,26,18,145.2,12,0,134,12,2,120,88.3,98.6,9.02,2.37,-0.16,,,2.21,3.06
송성문,2024,키움,28,1B,8,2,31.0,3,0,25,1,0,18,83.3,100.0,7.55,-2.17,0.08,,,-2.1,-7.36
이용규,2022,키움,37,LF,60,56,442.1,0,0,89,2,2,93,97.8,97.8,1.85,-1.7,-0.3,,,-2.12,-3.54
이용규,2023,키움,38,LF,33,28,244.2,0,0,49,0,0,31,100.0,100.0,1.8,-2.09,0.45,,,-1.49,-4.29
이용규,2024,키움,39,LF,10,9,79.2,0,0,22,0,0,12,100.0,100.0,2.49,1.39,0.07,,,1.76,10.54
장성우,2022,KT,32,C,101,87,763.2,61,0,661,39,7,57,-19.3,99.0,8.25,-0.33,-0.09,,-0.34,7.21,8.87
장성우,2023,KT,33,C,116,104,886.0,49,0,719,43,6,57,3.5,99.2,7.74,0.62,-0.12,,0.08,2.84,3.13
장성우,2024,KT,34,C,35,32,253.2,10,0,221,19,1,8,-37.5,99.6,8.52,-0.62,1.12,,0.06,2.54,9.16
정훈,2022,롯데,35,1B,77,74,614.2,69,0,561,43,2,598,88.1,99.7,8.84,2.09,-0.02,,0.21,2.28,3.61
정훈,2023,롯데,36,1B,65,47,410.1,24,0,344,23,5,259,88.8,98.7,8.05,-10.7,0.44,,-0.29,-10.56,-19.0
정훈,2024,롯데,37,1B,26,24,206.0,9,0,185,18,2,121,90.9,99.0,8.87,-3.31,0.02,,0.01,-3.28,-13.13
최주환,2022,SSG,34,1B,24,18,157.2,10,0,143,14,4,157,91.1,97.5,8.96,-1.27,-1.33,,0.19,-2.41,-3.58
최주환,2023,SSG,35,1B,47,34,293.0,14,0,265,27,2,242,93.4,99.3,8.97,-2.72,-0.32,,0.18,-2.86,-3.08
최주환,2024,키움,36,1B,29,28,250.1,14,0,233,12,1,159,90.6,99.6,8.81,0.79,0.14,,-0.01,0.92,4.13
허도환,2022,LG,38,C,63,27,254.2,19,0,211,13,0,19,0.0,100.0,7.92,-0.01,0.78,,0.07,-4.32,-9.72
허도환,2023,LG,39,C,45,21,212.0,8,0,168,8,0,6,-33.3,100.0,7.47,-0.1,0.56,,0.01,-5.3,-16.25
허도환,2024,LG,40,C,15,6,56.2,1,0,52,1,1,2,0.0,98.1,8.42,-0.04,-0.25,,,-0.76,-7.27
황재균,2022,KT,35,1B,2,1,7.0,1,0,3,2,0,5,80.0,100.0,6.43,0.03,0.01,,,0.04,0.04
황재균,2023,KT,36,3B,107,103,895.0,49,0,82,162,11,192,68.8,95.7,2.45,5.14,0.46,-0.52,-0.09,4.98,6.58
황재균,2024,KT,37,1B,1,0,1.0,0,0,2,0,0,0,,100.0,18.0,0.78,0.0,,,0.78,2.69
