Rank,Name,Position,G,GS,IP,WP,PB,Pass9,SB,CS,CS%,SBA,SBA%,SB 2,SB 3,SB H,SB Double,CS 2,CS 3,CS H,CS Double,Range RAA,Err RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,Team
1,박동원,C,40,36,315.1,13,5,0.514,38,13,25.5,500,10.2,36,2,0,1,9,4,0,1,0.63,0.43,0.00,0.84,,1.64,5.91,LG
2,김범석,C,3,1,11.0,1,0,0.818,0,0,,22,0.0,0,0,0,0,0,0,0,0,-0.04,0.05,,-0.36,,-0.35,-2.41,LG
3,허도환,C,15,6,56.2,4,1,0.794,12,1,7.7,87,14.9,10,2,0,1,0,1,0,0,-0.04,-0.24,0.00,-0.48,,-0.76,-7.29,LG
